Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
758,A. heermannii,139,GRI,HIGH,0.04,6.7,2,0.0648,0.0317,355,29,0.1207,0.014705882,0.25,1
188,Gri01.01,139,GRI,HIGH,0.04,6.7,3,0.1585,0.0412,1413,21,0.5095,0.014705882,0.25,1
215,Gri01.13,139,GRI,HIGH,0.04,6.7,3,0.1266,0.0215,564,16,0.4125,0.014705882,0.25,1
441,UnH: Cla12.04,139,GRI,HIGH,0.04,6.7,3,0.1051,0.0302,2453,57,0.1421,0.014705882,0.25,1
623,UnL: Anz13.04,139,GRI,HIGH,0.04,6.7,3,0.0712,0.024,662,47,0.1851,0.014705882,0.25,1
801,A. heermannii,139,GRI,HIGH,0.04,6.7,3,0.1338,0.0644,853,53,0.2094,0.014705882,0.25,1
189,Gri01.01,139,GRI,HIGH,0.04,6.7,4,0.2585,0.0239,769,38,0.2737,0.014705882,0.25,1
219,Gri01.13,139,GRI,HIGH,0.04,6.7,4,0.2019,0.0113,852,30,0.5833,0.014705882,0.25,1
494,UnH: Cla12.04,139,GRI,HIGH,0.04,6.7,4,0.0122,0.0031,-39,30,0.0533,0.014705882,0.25,1
656,UnL: Anz13.04,139,GRI,HIGH,0.04,6.7,4,0.1527,0.0281,653,81,0.1259,0.014705882,0.25,1
851,A. heermannii,139,GRI,HIGH,0.04,6.7,4,0.2189,0.0711,1178,77,0.1844,0.014705882,0.25,1
200,Gri01.01,139,GRI,HIGH,0.04,6.7,5,0.1102,0.013,1284,18,0.1389,0.014705882,0.25,1
533,UnH: Cla12.04,139,GRI,HIGH,0.04,6.7,5,0.1434,0.033,3167,71,0.1183,0.014705882,0.25,1
876,A. heermannii,139,GRI,HIGH,0.04,6.7,5,0.1012,0.0445,696,59,0.1475,0.014705882,0.25,1
174,Gri01.01,140,GRI,HIGH,0.04,6.7,1,0.0218,0.0098,NA,0,NA,NA,NA,NA
206,Gri01.13,140,GRI,HIGH,0.04,6.7,1,0.0176,0.0056,NA,0,NA,NA,NA,NA
392,UnH: Cla12.04,140,GRI,HIGH,0.04,6.7,1,0.0071,0.0035,NA,0,NA,NA,NA,NA
545,UnL: Anz13.04,140,GRI,HIGH,0.04,6.7,1,0.0146,0.0066,NA,0,NA,NA,NA,NA
721,A. heermannii,140,GRI,HIGH,0.04,6.7,1,0.0202,0.0110,NA,0,NA,NA,NA,NA
181,Gri01.01,140,GRI,HIGH,0.04,6.7,2,0.0096,0.0071,NA,0,NA,NA,NA,NA
208,Gri01.13,140,GRI,HIGH,0.04,6.7,2,0.0152,0.0067,NA,0,NA,NA,NA,NA
